id,Fairing Diameter,Fairing Height,Liftoff Thrust,Payload to GTO,Payload to LEO,Price,Rocket Height,Stages,Status,Strap-ons,base,company,date,link,status,title_1,title_2
764,5.4 m,17.0 m,"15,120 kN","10,500 kg","21,000 kg",$200.0 million,53.0 m,2,Active,2,"ELA-3, Guiana Space Centre, French Guiana, France",Arianespace,2016-06-18 21:38:00+00:00,/launches/details/764,1,Ariane 5 ECA,EchoStar 18 & BRISat
34,5.2 m,13.0 m,"6,804 kN","8,300 kg","22,800 kg",$62.0 million,70.0 m,2,Retired,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2016-06-15 14:29:00+00:00,/launches/details/34,1,Falcon 9 Block 3 (v1.2/FT),ABS-2A & Eutelsat 117 West B
2059,4.2 m,9.78 m,"5,923 kN","3,900 kg","8,000 kg",$20.0 million,55.64 m,3,Active,4,"LC-3, Xichang Satellite Launch Center, China",CASC,2016-06-12 15:30:00+00:00,/launches/details/2059,1,Long March 3C/E,Beidou-2 G7
136,5.1 m,19.1 m,"9,411 kN","13,810 kg","28,370 kg",$350.0 million,72.0 m,2,Active,2,"SLC-37B, Cape Canaveral SFS, Florida, USA",ULA,2016-06-11 17:51:00+00:00,/launches/details/136,1,Delta IV Heavy,NROL-37
2057,4.35 m,15.26 m,"10,027 kN","6,900 kg","21,000 kg",$65.0 million,58.18 m,4,Active,0,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",ILS,2016-06-09 07:10:00+00:00,/launches/details/2057,1,Proton-M/Briz-M,Intelsat 31
2056,2.62 m,6.74 m,"1,875 kN",0 kg,"2,150 kg",$13.0 million,29.1 m,3,Retired,0,"Site 133/3, Plesetsk Cosmodrome, Russia",VKS RF,2016-06-04 14:00:00+00:00,/launches/details/2056,1,Rokot/Briz KM,Cosmos 2517
2055,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2016-05-30 03:17:00+00:00,/launches/details/2055,1,Long March 4B,"Ziyuan-3 02, ÑuSat 1 & 2"
2054,4.11 m,11.43 m,"4,550 kN","3,000 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2016-05-29 08:44:00+00:00,/launches/details/2054,1,Soyuz 2.1b/Fregat,Cosmos 2516
33,5.2 m,13.0 m,"6,804 kN","8,300 kg","22,800 kg",$62.0 million,70.0 m,2,Retired,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2016-05-27 21:39:00+00:00,/launches/details/33,1,Falcon 9 Block 3 (v1.2/FT),Thaicom 8
1327,4.11 m,11.43 m,"4,317 kN","3,250 kg","9,000 kg",$30.0 million,46.94 m,4,Active,4,"ELS, Guiana Space Centre, French Guiana, France",Arianespace,2016-05-24 08:48:00+00:00,/launches/details/1327,1,Soyuz ST-B/Fregat-MT,Galileo FOC FM10-FM11
2053,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2016-05-15 02:43:00+00:00,/launches/details/2053,1,Long March 2D,Yaogan 30
32,5.2 m,13.0 m,"6,804 kN","8,300 kg","22,800 kg",$62.0 million,70.0 m,2,Retired,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2016-05-06 05:21:00+00:00,/launches/details/32,1,Falcon 9 Block 3 (v1.2/FT),JCSAT-14
2052,3.2 m,8.3 m,"7,661 kN","1,410 kg","3,250 kg",$31.0 million,44.0 m,4,Active,6,"First Launch Pad, Satish Dhawan Space Centre, India",ISRO,2016-04-28 07:20:00+00:00,/launches/details/2052,1,PSLV-XL,IRNSS-1G
2051,4.11 m,10.2 m,"4,550 kN","2,000 kg","7,020 kg",$23.0 million,46.94 m,4,Active,4,"Site 1S, Vostochny Cosmodrome, Russia",Roscosmos,2016-04-28 02:01:00+00:00,/launches/details/2051,1,Soyuz 2.1a/Volga,"Mikhailo Lomonosov, Aist-2D, & SamSat 218"
1340,4.11 m,11.43 m,"4,317 kN","3,000 kg","8,500 kg",$30.0 million,46.94 m,4,Active,4,"ELS, Guiana Space Centre, French Guiana, France",Arianespace,2016-04-25 21:02:00+00:00,/launches/details/1340,1,Soyuz ST-A/Fregat-M,"Sentinel 1B, MICROSCOPE & Others"
31,5.2 m,13.0 m,"6,804 kN","8,300 kg","22,800 kg",$62.0 million,70.0 m,2,Retired,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2016-04-08 20:43:00+00:00,/launches/details/31,1,Falcon 9 Block 3 (v1.2/FT),CRS SpX-8
2050,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2016-04-05 17:38:00+00:00,/launches/details/2050,1,Long March 2D,Shijian-10
2591,,,490 kN,0 kg,0 kg,,18.0 m,2,Active,0,"Launch Site One, West Texas, Texas, USA",Blue Origin,2016-04-02 15:18:00+00:00,/launches/details/2591,1,New Shepard,Mission 4
2048,4.11 m,15.59 m,"4,550 kN",0 kg,"7,500 kg",$17.42 million,51.38 m,3,Active,4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2016-03-31 16:23:00+00:00,/launches/details/2048,1,Soyuz 2.1a,Progress MS-02
2047,3.35 m,8.89 m,"2,962 kN","2,600 kg","8,500 kg",$69.7 million,52.52 m,3,Active,0,"LC-2, Xichang Satellite Launch Center, China",CASC,2016-03-29 20:11:00+00:00,/launches/details/2047,1,Long March 3A,Beidou-2 I6
2046,4.11 m,15.59 m,"4,550 kN",0 kg,"7,500 kg",$17.42 million,51.38 m,3,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2016-03-24 09:42:00+00:00,/launches/details/2046,1,Soyuz 2.1a,Cosmos 2515
518,4.2 m,13.8 m,"3,826 kN","4,750 kg","9,797 kg",$109.0 million,58.3 m,2,Active,0,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2016-03-23 03:05:00+00:00,/launches/details/518,1,Atlas V 401,CRS OA-6
2045,3.0 m,15.59 m,"4,550 kN",0 kg,"7,300 kg",,51.32 m,3,Retired,4,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2016-03-18 21:26:00+00:00,/launches/details/2045,1,Soyuz FG,Soyuz TMA-20M
2044,4.35 m,15.26 m,"10,027 kN","6,900 kg","21,000 kg",$65.0 million,58.18 m,4,Active,0,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2016-03-14 09:31:00+00:00,/launches/details/2044,1,Proton-M/Briz-M,ExoMars Trace Gas Orbiter
2043,4.11 m,8.36 m,"4,550 kN",0 kg,"8,020 kg",$20.0 million,44.08 m,3,Active,4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2016-03-13 18:56:00+00:00,/launches/details/2043,1,Soyuz 2.1b,Resurs-P n°03
2042,3.2 m,8.3 m,"7,661 kN","1,410 kg","3,250 kg",$31.0 million,44.0 m,4,Active,6,"Second Launch Pad, Satish Dhawan Space Centre, India",ISRO,2016-03-10 10:31:00+00:00,/launches/details/2042,1,PSLV-XL,IRNSS-1F
763,5.4 m,17.0 m,"15,120 kN","10,500 kg","21,000 kg",$200.0 million,53.0 m,2,Active,2,"ELA-3, Guiana Space Centre, French Guiana, France",Arianespace,2016-03-09 05:20:00+00:00,/launches/details/763,1,Ariane 5 ECA,Eutelsat 65 West A
30,5.2 m,13.0 m,"6,804 kN","8,300 kg","22,800 kg",$62.0 million,70.0 m,2,Retired,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2016-03-04 23:35:00+00:00,/launches/details/30,1,Falcon 9 Block 3 (v1.2/FT),SES-9
1466,4.07 m,12.0 m,,"4,100 kg","10,000 kg",$90.0 million,53.0 m,2,Active,2,"LA-Y1, Tanegashima Space Center, Japan",MHI,2016-02-17 08:45:00+00:00,/launches/details/1466,1,H-IIA 202,"Astro H, Horyu 4 & Kinshachi 2 and 3"
2049,2.62 m,6.74 m,"1,875 kN",0 kg,"2,150 kg",$13.0 million,29.1 m,3,Retired,0,"Site 133/3, Plesetsk Cosmodrome, Russia",Eurockot,2016-02-16 17:57:00+00:00,/launches/details/2049,1,Rokot/Briz KM,Sentinel-3A
148,5.1 m,19.1 m,"4,895 kN","5,080 kg","9,610 kg",,66.4 m,2,Retired,2,"SLC-6, Vandenberg SFB, California, USA",ULA,2016-02-10 11:40:00+00:00,/launches/details/148,1,"Delta IV Medium+ (5,2)",NROL-45
1360,1.25 m,2.0 m,284 kN,0 kg,200 kg,,30.0 m,3,Active,0,"Pad 1, Sohae Satellite Launching Station, North Korea",KCST,2016-02-07 00:30:00+00:00,/launches/details/1360,1,Unha-3,Kwangmyŏngsŏng 4
2041,4.11 m,11.43 m,"4,550 kN","3,000 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2016-02-07 00:21:00+00:00,/launches/details/2041,1,Soyuz 2.1b/Fregat,Cosmos 2514
519,4.2 m,13.8 m,"3,826 kN","4,750 kg","9,797 kg",$109.0 million,58.3 m,2,Active,0,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2016-02-05 13:38:00+00:00,/launches/details/519,1,Atlas V 401,GPS IIF-12
2040,4.2 m,9.78 m,"5,923 kN","3,500 kg","7,500 kg",$20.0 million,55.64 m,4,Active,2,"LC-2, Xichang Satellite Launch Center, China",CASC,2016-02-01 07:29:00+00:00,/launches/details/2040,1,Long March 3C/YZ-1,Beidou-3 M3S
2039,4.35 m,15.26 m,"10,027 kN","6,900 kg","21,000 kg",$65.0 million,58.18 m,4,Active,0,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",ILS,2016-01-29 22:20:00+00:00,/launches/details/2039,1,Proton-M/Briz-M,Eutelsat 9B
761,5.4 m,17.0 m,"15,120 kN","10,500 kg","21,000 kg",$200.0 million,53.0 m,2,Active,2,"ELA-3, Guiana Space Centre, French Guiana, France",Arianespace,2016-01-27 23:20:00+00:00,/launches/details/761,1,Ariane 5 ECA,Intelsat 29e
2590,,,490 kN,0 kg,0 kg,,18.0 m,2,Active,0,"Launch Site One, West Texas, Texas, USA",Blue Origin,2016-01-22 13:00:00+00:00,/launches/details/2590,1,New Shepard,Mission 3
2038,3.2 m,8.3 m,"7,661 kN","1,410 kg","3,250 kg",$31.0 million,44.0 m,4,Active,6,"Second Launch Pad, Satish Dhawan Space Centre, India",ISRO,2016-01-20 04:01:00+00:00,/launches/details/2038,1,PSLV-XL,IRNSS-1E
29,5.2 m,13.0 m,"5,885 kN","4,850 kg","13,150 kg",$56.5 million,68.4 m,2,Retired,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2016-01-17 18:42:00+00:00,/launches/details/29,1,Falcon 9 Block 2 (v1.1),Jason-3
2037,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-3, Xichang Satellite Launch Center, China",CASC,2016-01-15 16:57:00+00:00,/launches/details/2037,1,Long March 3B/E,Belintersat 1
6140,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-2, Xichang Satellite Launch Center, China",CASC,2015-12-28 16:04:00+00:00,/launches/details/6140,1,Long March 3B/E,Gaofen 4
6416,4.35 m,15.26 m,"10,027 kN","6,900 kg","21,000 kg",$65.0 million,58.18 m,4,Active,0,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2015-12-24 21:31:00+00:00,/launches/details/6416,1,Proton-M/Briz-M,Ekspress-AMU1
28,5.2 m,13.0 m,"6,804 kN","8,300 kg","22,800 kg",$62.0 million,70.0 m,2,Retired,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2015-12-22 01:29:00+00:00,/launches/details/28,1,Falcon 9 Block 3 (v1.2/FT),OG2 Mission 2
5394,4.11 m,15.59 m,"4,550 kN",0 kg,"7,500 kg",$17.42 million,51.38 m,3,Active,4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2015-12-21 08:44:00+00:00,/launches/details/5394,1,Soyuz 2.1a,Progress MS-01
1328,4.11 m,11.43 m,"4,317 kN","3,250 kg","9,000 kg",$30.0 million,46.94 m,4,Active,4,"ELS, Guiana Space Centre, French Guiana, France",Arianespace,2015-12-17 11:51:00+00:00,/launches/details/1328,1,Soyuz ST-B/Fregat-MT,Galileo FOC FM08-FM09
6139,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2015-12-17 00:12:00+00:00,/launches/details/6139,1,Long March 2D,DAMPE
2106,3.2 m,8.3 m,"4,847 kN",,,$21.0 million,44.0 m,4,Active,0,"First Launch Pad, Satish Dhawan Space Centre, India",ISRO,2015-12-16 12:30:00+00:00,/launches/details/2106,1,PSLV-CA,TeLEOS-1 & Rideshares
6161,3.0 m,15.59 m,"4,550 kN",0 kg,"7,300 kg",,51.32 m,3,Retired,4,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2015-12-15 11:03:00+00:00,/launches/details/6161,1,Soyuz FG,Soyuz TMA-19M
6417,4.35 m,15.26 m,"10,027 kN","6,900 kg","21,000 kg",$65.0 million,58.18 m,4,Active,0,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2015-12-13 00:19:00+00:00,/launches/details/6417,1,Proton-M/Briz-M,Cosmos 2513
1207,4.1 m,10.7 m,"7,257 kN","6,000 kg","13,740 kg",,54.35 m,3,Retired,0,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2015-12-11 13:45:00+00:00,/launches/details/1207,1,Zenit-3 SLBF,Elektro-L n°2
6138,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-3, Xichang Satellite Launch Center, China",CASC,2015-12-09 16:46:00+00:00,/launches/details/6138,1,Long March 3B/E,ChinaSat-1C
