id,Fairing Diameter,Fairing Height,Liftoff Thrust,Payload to GTO,Payload to LEO,Price,Rocket Height,Stages,Status,Strap-ons,base,company,date,link,status,title_1,title_2
7049,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-12-12 08:22:00+00:00,/launches/details/7049,1,Long March 4C,Shiyan 20A & 20B
6939,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-12-11 07:38:00+00:00,/launches/details/6939,1,Falcon 9 Block 5,HAKUTO-R Mission 1
4349,3.35 m,,,,"1,500 kg",,31.0 m,4,Active,0,"Tai Rui Barge (Area 3), Yellow Sea",CASC,2022-12-09 06:35:00+00:00,/launches/details/4349,1,Jielong-3,Demo Flight
2959,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-12-08 22:27:00+00:00,/launches/details/2959,1,Falcon 9 Block 5,OneWeb #15
7048,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2022-12-08 18:31:00+00:00,/launches/details/7048,1,Long March 2D,Gaofen-5 01A
4718,2.2 m,8.5 m,"1,250 kN",0 kg,"1,500 kg",$28.3 million,25.3 m,4,Active,0,"Site 95, Jiuquan Satellite Launch Center, China",ExPace,2022-12-07 01:15:00+00:00,/launches/details/4718,1,Kuaizhou 11,Xingyun VDES
7044,4.11 m,8.36 m,"4,550 kN",0 kg,"8,020 kg",$20.0 million,44.08 m,3,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2022-11-30 21:10:00+00:00,/launches/details/7044,1,Soyuz 2.1b,Cosmos 2565
4353,3.6 m,19.11 m,"5,985 kN",0 kg,"8,600 kg",,58.34 m,2,Active,4,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",CASC,2022-11-29 15:08:00+00:00,/launches/details/4353,1,Long March 2F/G,Shenzhou 15
2961,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/3, Plesetsk Cosmodrome, Russia",VKS RF,2022-11-28 15:17:00+00:00,/launches/details/2961,1,Soyuz 2.1b/Fregat-M,Cosmos 2564
7039,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-11-27 12:23:00+00:00,/launches/details/7039,1,Long March 2D,Yaogan 36 Group 03
4754,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-11-26 19:20:00+00:00,/launches/details/4754,1,Falcon 9 Block 5,CRS SpX-26
2027,3.2 m,8.3 m,"7,661 kN","1,410 kg","3,250 kg",$31.0 million,44.0 m,4,Active,6,"First Launch Pad, Satish Dhawan Space Centre, India",ISRO,2022-11-26 06:26:00+00:00,/launches/details/2027,1,PSLV-XL,"EOS-06, BhutanSat & Others"
7018,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-11-23 02:57:00+00:00,/launches/details/7018,1,Falcon 9 Block 5,Eutelsat 10B
115,5.1 m,14.3 m,"39,440 kN",,"95,000 kg",$876.0 million,98.1 m,2,Active,2,"LC-39B, Kennedy Space Center, Florida, USA",NASA,2022-11-16 06:47:00+00:00,/launches/details/115,1,SLS Block 1,Artemis I
7038,1.28 m,2.6 m,588 kN,0 kg,350 kg,$4.9 million,19.0 m,4,Active,0,"Site 95, Jiuquan Satellite Launch Center, China",Galactic Energy,2022-11-16 06:20:00+00:00,/launches/details/7038,1,Ceres-1,Young For You
7037,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-11-15 01:38:00+00:00,/launches/details/7037,1,Long March 4C,Yaogan 34-03
5058,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-11-12 16:06:00+00:00,/launches/details/5058,1,Falcon 9 Block 5,Galaxy 31 & 32
4351,4.2 m,12.4 m,"7,128 kN","5,500 kg","13,500 kg",,53.1 m,2,Active,4,"LC-201, Wenchang Satellite Launch Center, China",CASC,2022-11-12 02:03:00+00:00,/launches/details/4351,1,Long March 7,Tianzhou 5
7036,4.2 m,5.7 m,"7,230 kN",,"4,000 kg",,50.0 m,2,Active,4,"LC-9A, Taiyuan Satellite Launch Center, China",CASC,2022-11-11 22:52:00+00:00,/launches/details/7036,1,Long March 6A,Yunhai 3
404,4.2 m,13.8 m,"3,826 kN","4,750 kg","9,797 kg",$109.0 million,58.3 m,2,Active,0,"SLC-3E, Vandenberg SFB, California, USA",ULA,2022-11-10 09:49:00+00:00,/launches/details/404,1,Atlas V 401,JPSS-2
6778,3.9 m,9.9 m,"3,844 kN",,"8,000 kg",$85.0 million,42.5 m,2,Active,0,"LP-0A, Wallops Flight Facility, Virginia, USA",Northrop,2022-11-07 10:32:00+00:00,/launches/details/6778,1,Antares 230+,CRS NG-18
7034,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-2, Xichang Satellite Launch Center, China",CASC,2022-11-05 11:50:00+00:00,/launches/details/7034,1,Long March 3B/E,ChinaSat 19
7033,1.2 m,2.5 m,225 kN,,320 kg,$7.5 million,17.0 m,3,Active,0,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Rocket Lab,2022-11-04 17:27:00+00:00,/launches/details/7033,1,Electron/Curie,Catch Me If You Can
7017,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-11-03 05:22:00+00:00,/launches/details/7017,1,Falcon 9 Block 5,Hotbird 13G
4356,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2022-11-02 06:48:00+00:00,/launches/details/4356,1,Soyuz 2.1b/Fregat-M,Cosmos 2563
1151,5.2 m,13.0 m,"22,819 kN","26,700 kg","63,800 kg",$97.0 million,70.0 m,2,Active,2,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-11-01 13:41:00+00:00,/launches/details/1151,1,Falcon Heavy,USSF-44
2805,5.2 m,20.5 m,"10,565 kN",0 kg,"23,000 kg",,53.66 m,2,Active,4,"LC-101, Wenchang Satellite Launch Center, China",CASC,2022-10-31 07:37:00+00:00,/launches/details/2805,1,Long March 5B,Mengtian
7032,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-10-29 01:01:00+00:00,/launches/details/7032,1,Long March 2D,Shiyan 20C
7029,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2022-10-28 01:14:00+00:00,/launches/details/7029,1,Falcon 9 Block 5,Starlink Group 4-31
5306,4.11 m,15.59 m,"4,550 kN",0 kg,"7,500 kg",$17.42 million,51.38 m,3,Active,4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2022-10-26 00:20:00+00:00,/launches/details/5306,1,Soyuz 2.1a,Progress MS-21
5287,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 1S, Vostochny Cosmodrome, Russia",Roscosmos,2022-10-22 19:57:00+00:00,/launches/details/5287,1,Soyuz 2.1b/Fregat-M,Goniets-M n°33L to 35L & Skif-D
6988,5.0 m,,"11,898 kN","4,000 kg","10,000 kg",$62.0 million,43.4 m,3,Active,2,"Second Launch Pad, Satish Dhawan Space Centre, India",ISRO,2022-10-22 18:37:00+00:00,/launches/details/6988,1,GSLV Mk III,OneWeb #14
7028,3.0 m,8.36 m,"1,535 kN",0 kg,"2,850 kg",,44.08 m,3,Active,0,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2022-10-21 19:20:00+00:00,/launches/details/7028,1,Soyuz 2.1v/Volga,Cosmos 2561 & 2562
7005,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-10-20 14:50:00+00:00,/launches/details/7005,1,Falcon 9 Block 5,Starlink Group 4-36
7025,3.0 m,9.9 m,"1,922 kN",0 kg,"3,800 kg",,42.4 m,2,Active,0,"Site 35/1, Plesetsk Cosmodrome, Russia",VKS RF,2022-10-15 19:55:00+00:00,/launches/details/7025,1,Angara 1.2,Cosmos 2560
7016,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-10-15 05:22:00+00:00,/launches/details/7016,1,Falcon 9 Block 5,Hotbird 13F
7026,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-10-14 19:12:00+00:00,/launches/details/7026,1,Long March 2D,Yaogan 36 Group 02
7027,3.35 m,5.84 m,"2,962 kN","1,000 kg","2,500 kg",$30.8 million,34.65 m,2,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2022-10-12 22:53:00+00:00,/launches/details/7027,1,Long March 2C,5 m S-SAR-01
2938,4.35 m,10.0 m,"10,027 kN","6,000 kg","21,000 kg",$65.0 million,57.24 m,4,Active,0,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2022-10-12 15:00:00+00:00,/launches/details/2938,1,Proton-M/DM-3,Angosat-2
5652,2.5 m,9.19 m,"1,612 kN",,700 kg,$39.0 million,26.0 m,4,Active,0,"Mu Pad, Uchinoura Space Center, Japan",JAXA,2022-10-12 00:50:00+00:00,/launches/details/5652,0,Epsilon PBS,RAISE-3 & Others
2726,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/3, Plesetsk Cosmodrome, Russia",VKS RF,2022-10-10 02:52:00+00:00,/launches/details/2726,1,Soyuz 2.1b/Fregat-M,Cosmos 2559
4954,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-10-08 23:43:00+00:00,/launches/details/4954,1,Long March 2D,Advanced Space-borne Solar Observatory (ASO-S)
5059,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-10-08 23:05:00+00:00,/launches/details/5059,1,Falcon 9 Block 5,Galaxy 33 & 34
7019,1.2 m,2.5 m,225 kN,,320 kg,$7.5 million,17.0 m,3,Active,0,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Rocket Lab,2022-10-07 17:09:00+00:00,/launches/details/7019,1,Electron/Curie,It Argos Up From Here
4734,2.0 m,5.0 m,"1,176 kN",0 kg,700 kg,$5.3 million,20.8 m,4,Active,0,"DeFu-15002 Barge, Yellow Sea",CASC,2022-10-07 13:10:00+00:00,/launches/details/4734,1,Long March 11H,CentiSpace-1 S5 & S6
7011,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2022-10-05 23:10:00+00:00,/launches/details/7011,1,Falcon 9 Block 5,Starlink Group 4-29
5807,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-10-05 16:00:00+00:00,/launches/details/5807,1,Falcon 9 Block 5,SpaceX Crew-5
4746,5.4 m,26.5 m,"8,815 kN","7,450 kg","15,530 kg",$140.0 million,62.2 m,2,Active,3,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2022-10-04 21:36:00+00:00,/launches/details/4746,1,Atlas V 531,SES-20 & SES-21
6864,2.0 m,5.0 m,736 kN,,"1,170 kg",$15.0 million,29.0 m,2,Active,0,"SLC-2W, Vandenberg SFB, California, USA",Firefly,2022-10-01 07:01:00+00:00,/launches/details/6864,0,Firefly Alpha,To The Black
7023,2.6 m,6.145 m,"1,188 kN",0 kg,"1,080 kg",$19.0 million,29.24 m,3,Active,0,"LC-16, Taiyuan Satellite Launch Center, China",CASC,2022-09-26 23:50:00+00:00,/launches/details/7023,1,Long March 6,Shiyan 16 A/B & Shiyan 17
7021,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-09-26 13:38:00+00:00,/launches/details/7021,1,Long March 2D,Yaogan 36
7004,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-09-24 23:32:00+00:00,/launches/details/7004,1,Falcon 9 Block 5,Starlink Group 4-35
7022,1.4 m,3.4 m,537 kN,0 kg,300 kg,$5.8 million,19.8 m,4,Active,0,"Taiyuan Satellite Launch Center, China",CASIC,2022-09-24 22:55:00+00:00,/launches/details/7022,1,Kuaizhou 1A,Shiyan 14 & Shiyan 15
143,5.1 m,19.1 m,"9,411 kN","13,810 kg","28,370 kg",$350.0 million,72.0 m,2,Active,2,"SLC-6, Vandenberg SFB, California, USA",ULA,2022-09-24 22:25:00+00:00,/launches/details/143,1,Delta IV Heavy,NROL-91
2974,4.11 m,15.59 m,"4,550 kN",0 kg,"7,500 kg",$17.42 million,51.38 m,3,Active,4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2022-09-21 13:54:00+00:00,/launches/details/2974,1,Soyuz 2.1a,Soyuz MS-22
7020,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-09-20 23:15:00+00:00,/launches/details/7020,1,Long March 2D,Yunhai-1 03
6998,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-09-19 00:18:00+00:00,/launches/details/6998,1,Falcon 9 Block 5,Starlink Group 4-34
6999,1.2 m,2.5 m,225 kN,,320 kg,$7.5 million,17.0 m,3,Active,0,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Rocket Lab,2022-09-15 20:38:00+00:00,/launches/details/6999,1,Electron/Curie,The Owl Spreads Its Wings
6997,4.2 m,12.4 m,"7,128 kN","7,000 kg","12,000 kg",,58.0 m,3,Active,4,"LC-201, Wenchang Satellite Launch Center, China",CASC,2022-09-13 13:18:00+00:00,/launches/details/6997,1,Long March 7A,ChinaSat 1E
7006,,,490 kN,0 kg,0 kg,,18.0 m,2,Active,0,"Launch Site One, West Texas, Texas, USA",Blue Origin,2022-09-12 14:26:00+00:00,/launches/details/7006,0,New Shepard,NS-23
6965,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-09-11 01:20:00+00:00,/launches/details/6965,1,Falcon 9 Block 5,"Starlink Group 4-2, BlueWalker 3"
2015,5.4 m,17.0 m,"15,120 kN","10,500 kg","21,000 kg",$200.0 million,53.0 m,2,Active,2,"ELA-3, Guiana Space Centre, French Guiana, France",Arianespace,2022-09-07 21:45:00+00:00,/launches/details/2015,1,Ariane 5 ECA,Eutelsat Konnect VHTS
7013,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-09-06 04:19:00+00:00,/launches/details/7013,1,Long March 2D,Yaogan 35 Group 05
7012,1.4 m,3.4 m,537 kN,0 kg,300 kg,$5.8 million,19.8 m,4,Active,0,"Site 95, Jiuquan Satellite Launch Center, China",CASIC,2022-09-06 02:24:00+00:00,/launches/details/7012,1,Kuaizhou 1A,CentiSpace-1 S3 & S4
6950,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-09-05 02:09:00+00:00,/launches/details/6950,1,Falcon 9 Block 5,Starlink Group 4-20 and Varuna-TDM
7010,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2022-09-02 23:44:00+00:00,/launches/details/7010,1,Long March 4C,Yaogan 33-02
6994,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2022-08-31 05:40:00+00:00,/launches/details/6994,1,Falcon 9 Block 5,Starlink Group 3-4
6966,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-08-28 03:41:00+00:00,/launches/details/6966,1,Falcon 9 Block 5,Starlink Group 4-23
7003,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2022-08-24 03:01:00+00:00,/launches/details/7003,1,Long March 2D,Beijing-3B
7001,1.4 m,3.4 m,537 kN,0 kg,300 kg,$5.8 million,19.8 m,4,Active,0,"Xichang Satellite Launch Center, China",CASIC,2022-08-23 02:36:00+00:00,/launches/details/7001,1,Kuaizhou 1A,Chuangxin-16
6984,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-08-19 19:21:00+00:00,/launches/details/6984,1,Falcon 9 Block 5,Starlink Group 4-27
7000,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-08-19 17:37:00+00:00,/launches/details/7000,1,Long March 2D,Yaogan 35 Group 04
6980,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2022-08-12 21:40:00+00:00,/launches/details/6980,1,Falcon 9 Block 5,Starlink Group 3-3
6996,2.6 m,6.145 m,"1,188 kN",0 kg,"1,080 kg",$19.0 million,29.24 m,3,Active,0,"LC-16, Taiyuan Satellite Launch Center, China",CASC,2022-08-10 04:50:00+00:00,/launches/details/6996,1,Long March 6,"Jilin-1 High Resolution 03D-09, 35 to 43 & Infrared A01 to 06"
6955,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-08-10 02:14:00+00:00,/launches/details/6955,1,Falcon 9 Block 5,Starlink Group 4-26
6995,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Roscosmos,2022-08-09 05:52:00+00:00,/launches/details/6995,1,Soyuz 2.1b/Fregat-M,Khayyam and other satellites
6875,1.28 m,2.6 m,588 kN,0 kg,350 kg,$4.9 million,19.0 m,4,Active,0,"Site 95, Jiuquan Satellite Launch Center, China",Galactic Energy,2022-08-09 04:11:00+00:00,/launches/details/6875,1,Ceres-1,White is the new black
751,2.0 m,,,,500 kg,,34.0 m,4,Active,0,"First Launch Pad, Satish Dhawan Space Centre, India",ISRO,2022-08-07 03:48:00+00:00,/launches/details/751,0,SSLV,EOS-02
103,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-08-04 23:08:00+00:00,/launches/details/103,1,Falcon 9 Block 5,Korean Pathfinder Lunar Orbiter (KPLO)
6993,3.8 m,12.78 m,"5,985 kN",0 kg,"8,600 kg",,52.03 m,2,Active,4,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",CASC,2022-08-04 16:00:00+00:00,/launches/details/6993,1,Long March 2F/T,Experimental Spaceplane (CSSHQ)
6990,,,490 kN,0 kg,0 kg,,18.0 m,2,Active,0,"Launch Site One, West Texas, Texas, USA",Blue Origin,2022-08-04 13:56:00+00:00,/launches/details/6990,1,New Shepard,NS-22
6792,4.2 m,13.8 m,"7,152 kN","6,890 kg","13,600 kg",$123.0 million,58.3 m,2,Active,2,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2022-08-04 10:29:00+00:00,/launches/details/6792,1,Atlas V 421,SBIRS GEO-6
6806,1.2 m,2.5 m,225 kN,,320 kg,$7.5 million,17.0 m,3,Active,0,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Rocket Lab,2022-08-04 05:00:00+00:00,/launches/details/6806,1,Electron/Curie,Antipodean Adventure (NROL-199)
6992,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2022-08-04 03:08:00+00:00,/launches/details/6992,1,Long March 4B,Terrestrial Ecosystem Carbon Inventory Satellite (TECIS)
6991,3.0 m,8.36 m,"1,535 kN",0 kg,"2,850 kg",,44.08 m,3,Active,0,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2022-08-01 20:25:00+00:00,/launches/details/6991,1,Soyuz 2.1v/Volga,Cosmos 2558
6985,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"LC-3, Xichang Satellite Launch Center, China",CASC,2022-07-29 13:28:00+00:00,/launches/details/6985,1,Long March 2D,Yaogan 35 Group 03
6860,3.35 m,,,"1,500 kg","2,000 kg",,31.0 m,4,Active,0,"Jiuquan Satellite Launch Center, China",CAS Space,2022-07-27 04:12:00+00:00,/launches/details/6860,1,Zhongke-1A,Demo Flight
6954,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-07-24 13:38:00+00:00,/launches/details/6954,1,Falcon 9 Block 5,Starlink Group 4-25
2804,5.2 m,20.5 m,"10,565 kN",0 kg,"23,000 kg",,53.66 m,2,Active,4,"LC-101, Wenchang Satellite Launch Center, China",CASC,2022-07-24 06:22:00+00:00,/launches/details/2804,1,Long March 5B,Wentian
6953,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2022-07-22 17:39:00+00:00,/launches/details/6953,1,Falcon 9 Block 5,Starlink Group 3-2
6952,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-07-17 14:20:00+00:00,/launches/details/6952,1,Falcon 9 Block 5,Starlink Group 4-22
6982,3.35 m,5.84 m,"2,962 kN","1,000 kg","2,500 kg",$30.8 million,34.65 m,2,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2022-07-15 22:57:00+00:00,/launches/details/6982,1,Long March 2C,SuperView Neo 2-01 & 02
4753,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"LC-39A, Kennedy Space Center, Florida, USA",SpaceX,2022-07-15 00:44:00+00:00,/launches/details/4753,1,Falcon 9 Block 5,CRS SpX-25
413,,,"4,500 kN",,"2,200 kg",,35.0 m,4,Active,0,"ELV-1, Guiana Space Centre, French Guiana, France",ESA,2022-07-13 13:13:00+00:00,/launches/details/413,1,Vega C,LARES 2 & SSMS n°4
6805,1.2 m,2.5 m,225 kN,,320 kg,$7.5 million,17.0 m,3,Active,0,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",Rocket Lab,2022-07-13 06:30:00+00:00,/launches/details/6805,1,Electron/Curie,Wise One Looks Ahead (NROL-162)
6981,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-2, Xichang Satellite Launch Center, China",CASC,2022-07-12 16:30:00+00:00,/launches/details/6981,1,Long March 3B/E,Tianlian-2-03
6797,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-4E, Vandenberg SFB, California, USA",SpaceX,2022-07-11 01:39:00+00:00,/launches/details/6797,1,Falcon 9 Block 5,Starlink Group 3-1
6951,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-07-07 13:11:00+00:00,/launches/details/6951,1,Falcon 9 Block 5,Starlink Group 4-21
2727,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2022-07-07 09:18:00+00:00,/launches/details/2727,1,Soyuz 2.1b/Fregat-M,Cosmos 2557
4158,1.3 m,,,,500 kg,$12.0 million,16.0 m,2,Active,0,"Cosmic Girl, Mojave Air and Space Port, California, USA",Virgin Orbit,2022-07-02 06:53:00+00:00,/launches/details/4158,1,LauncherOne,STP-S28A
397,5.4 m,26.5 m,"10,478 kN","8,290 kg","17,410 kg",$145.0 million,62.2 m,2,Active,4,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2022-07-01 23:15:00+00:00,/launches/details/397,1,Atlas V 541,USSF-12 (WFOV)
6977,3.2 m,8.3 m,"4,847 kN",,,$21.0 million,44.0 m,4,Active,0,"Second Launch Pad, Satish Dhawan Space Centre, India",ISRO,2022-06-30 12:32:00+00:00,/launches/details/6977,1,PSLV-CA,DS-EO & Others
6923,5.2 m,13.0 m,"7,607 kN","8,300 kg","22,800 kg",$67.0 million,70.0 m,2,Active,0,"SLC-40, Cape Canaveral SFS, Florida, USA",SpaceX,2022-06-29 21:04:00+00:00,/launches/details/6923,1,Falcon 9 Block 5,SES-22
3834,1.2 m,,162 kN,,320 kg,,17.0 m,3,Active,0,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",Rocket Lab,2022-06-28 09:55:00+00:00,/launches/details/3834,1,Electron/Photon,CAPSTONE
